,ave_q,ave_x,ave_t,ave_p,counts
401,1.25,0.125,1.75,27.0,0
402,1.25,0.125,1.75,45.0,0
403,1.25,0.125,1.75,63.0,0
404,1.25,0.125,1.75,81.0,0
405,1.25,0.125,1.75,99.0,0
406,1.25,0.125,1.75,117.0,0
407,1.25,0.125,1.75,135.0,0
408,1.25,0.125,1.75,153.0,1
409,1.25,0.125,1.75,171.0,2
410,1.25,0.125,1.75,189.0,0
411,1.25,0.125,1.75,207.0,1
412,1.25,0.125,1.75,225.0,0
413,1.25,0.125,1.75,243.0,0
414,1.25,0.125,1.75,261.0,0
415,1.25,0.125,1.75,279.0,0
416,1.25,0.125,1.75,297.0,0
417,1.25,0.125,1.75,315.0,0
418,1.25,0.125,1.75,333.0,0
419,1.25,0.125,1.75,351.0,0
420,1.25,0.125,2.5,9.0,0
421,1.25,0.125,2.5,27.0,0
422,1.25,0.125,2.5,45.0,0
423,1.25,0.125,2.5,63.0,0
424,1.25,0.125,2.5,81.0,0
425,1.25,0.125,2.5,99.0,2
426,1.25,0.125,2.5,117.0,0
427,1.25,0.125,2.5,135.0,0
428,1.25,0.125,2.5,153.0,3
429,1.25,0.125,2.5,171.0,2
430,1.25,0.125,2.5,189.0,0
431,1.25,0.125,2.5,207.0,0
432,1.25,0.125,2.5,225.0,3
433,1.25,0.125,2.5,243.0,2
434,1.25,0.125,2.5,261.0,4
435,1.25,0.125,2.5,279.0,0
436,1.25,0.125,2.5,297.0,0
437,1.25,0.125,2.5,315.0,0
438,1.25,0.125,2.5,333.0,0
439,1.25,0.125,2.5,351.0,0
440,1.25,0.125,4.0,9.0,0
441,1.25,0.125,4.0,27.0,1
442,1.25,0.125,4.0,45.0,1
443,1.25,0.125,4.0,63.0,0
444,1.25,0.125,4.0,81.0,0
445,1.25,0.125,4.0,99.0,1
446,1.25,0.125,4.0,117.0,1
447,1.25,0.125,4.0,135.0,1
448,1.25,0.125,4.0,153.0,1
449,1.25,0.125,4.0,171.0,1
450,1.25,0.125,4.0,189.0,0
451,1.25,0.125,4.0,207.0,0
452,1.25,0.125,4.0,225.0,0
453,1.25,0.125,4.0,243.0,1
454,1.25,0.125,4.0,261.0,0
455,1.25,0.125,4.0,279.0,0
456,1.25,0.125,4.0,297.0,1
457,1.25,0.125,4.0,315.0,0
458,1.25,0.125,4.0,333.0,0
459,1.25,0.125,4.0,351.0,0
460,1.25,0.125,7.5,9.0,0
461,1.25,0.125,7.5,27.0,0
462,1.25,0.125,7.5,45.0,0
463,1.25,0.125,7.5,63.0,0
464,1.25,0.125,7.5,81.0,0
465,1.25,0.125,7.5,99.0,0
466,1.25,0.125,7.5,117.0,0
467,1.25,0.125,7.5,135.0,0
468,1.25,0.125,7.5,153.0,0
469,1.25,0.125,7.5,171.0,0
470,1.25,0.125,7.5,189.0,0
471,1.25,0.125,7.5,207.0,0
472,1.25,0.125,7.5,225.0,0
473,1.25,0.125,7.5,243.0,0
474,1.25,0.125,7.5,261.0,0
475,1.25,0.125,7.5,279.0,0
476,1.25,0.125,7.5,297.0,1
477,1.25,0.125,7.5,315.0,0
478,1.25,0.125,7.5,333.0,0
479,1.25,0.125,7.5,351.0,0
480,1.25,0.175,0.045,9.0,0
481,1.25,0.175,0.045,27.0,0
482,1.25,0.175,0.045,45.0,0
483,1.25,0.175,0.045,63.0,0
484,1.25,0.175,0.045,81.0,0
485,1.25,0.175,0.045,99.0,0
486,1.25,0.175,0.045,117.0,0
487,1.25,0.175,0.045,135.0,0
488,1.25,0.175,0.045,153.0,0
489,1.25,0.175,0.045,171.0,0
490,1.25,0.175,0.045,189.0,0
491,1.25,0.175,0.045,207.0,0
492,1.25,0.175,0.045,225.0,0
493,1.25,0.175,0.045,243.0,0
494,1.25,0.175,0.045,261.0,0
495,1.25,0.175,0.045,279.0,0
496,1.25,0.175,0.045,297.0,0
497,1.25,0.175,0.045,315.0,0
498,1.25,0.175,0.045,333.0,0
499,1.25,0.175,0.045,351.0,0
500,1.25,0.175,0.12,9.0,0
501,1.25,0.175,0.12,27.0,0
502,1.25,0.175,0.12,45.0,0
503,1.25,0.175,0.12,63.0,0
504,1.25,0.175,0.12,81.0,0
505,1.25,0.175,0.12,99.0,0
506,1.25,0.175,0.12,117.0,0
507,1.25,0.175,0.12,135.0,0
508,1.25,0.175,0.12,153.0,0
509,1.25,0.175,0.12,171.0,0
510,1.25,0.175,0.12,189.0,0
511,1.25,0.175,0.12,207.0,0
512,1.25,0.175,0.12,225.0,0
513,1.25,0.175,0.12,243.0,0
514,1.25,0.175,0.12,261.0,0
515,1.25,0.175,0.12,279.0,0
516,1.25,0.175,0.12,297.0,0
517,1.25,0.175,0.12,315.0,0
518,1.25,0.175,0.12,333.0,0
519,1.25,0.175,0.12,351.0,0
520,1.25,0.175,0.175,9.0,0
521,1.25,0.175,0.175,27.0,0
522,1.25,0.175,0.175,45.0,0
523,1.25,0.175,0.175,63.0,0
524,1.25,0.175,0.175,81.0,0
525,1.25,0.175,0.175,99.0,0
526,1.25,0.175,0.175,117.0,1
527,1.25,0.175,0.175,135.0,0
528,1.25,0.175,0.175,153.0,1
529,1.25,0.175,0.175,171.0,0
530,1.25,0.175,0.175,189.0,1
531,1.25,0.175,0.175,207.0,0
532,1.25,0.175,0.175,225.0,0
533,1.25,0.175,0.175,243.0,0
534,1.25,0.175,0.175,261.0,0
535,1.25,0.175,0.175,279.0,0
536,1.25,0.175,0.175,297.0,0
537,1.25,0.175,0.175,315.0,0
538,1.25,0.175,0.175,333.0,0
539,1.25,0.175,0.175,351.0,0
540,1.25,0.175,0.25,9.0,0
541,1.25,0.175,0.25,27.0,0
542,1.25,0.175,0.25,45.0,0
543,1.25,0.175,0.25,63.0,0
544,1.25,0.175,0.25,81.0,0
545,1.25,0.175,0.25,99.0,0
546,1.25,0.175,0.25,117.0,0
547,1.25,0.175,0.25,135.0,1
548,1.25,0.175,0.25,153.0,0
549,1.25,0.175,0.25,171.0,0
550,1.25,0.175,0.25,189.0,1
551,1.25,0.175,0.25,207.0,1
552,1.25,0.175,0.25,225.0,0
553,1.25,0.175,0.25,243.0,0
554,1.25,0.175,0.25,261.0,0
555,1.25,0.175,0.25,279.0,0
556,1.25,0.175,0.25,297.0,0
557,1.25,0.175,0.25,315.0,0
558,1.25,0.175,0.25,333.0,0
559,1.25,0.175,0.25,351.0,0
560,1.25,0.175,0.35,9.0,0
561,1.25,0.175,0.35,27.0,0
562,1.25,0.175,0.35,45.0,0
563,1.25,0.175,0.35,63.0,0
564,1.25,0.175,0.35,81.0,0
565,1.25,0.175,0.35,99.0,0
566,1.25,0.175,0.35,117.0,0
567,1.25,0.175,0.35,135.0,0
568,1.25,0.175,0.35,153.0,1
569,1.25,0.175,0.35,171.0,1
570,1.25,0.175,0.35,189.0,0
571,1.25,0.175,0.35,207.0,0
572,1.25,0.175,0.35,225.0,0
573,1.25,0.175,0.35,243.0,0
574,1.25,0.175,0.35,261.0,0
575,1.25,0.175,0.35,279.0,0
576,1.25,0.175,0.35,297.0,0
577,1.25,0.175,0.35,315.0,0
578,1.25,0.175,0.35,333.0,0
579,1.25,0.175,0.35,351.0,0
580,1.25,0.175,0.5,9.0,0
581,1.25,0.175,0.5,27.0,0
582,1.25,0.175,0.5,45.0,0
583,1.25,0.175,0.5,63.0,0
584,1.25,0.175,0.5,81.0,0
585,1.25,0.175,0.5,99.0,0
586,1.25,0.175,0.5,117.0,0
587,1.25,0.175,0.5,135.0,0
588,1.25,0.175,0.5,153.0,0
589,1.25,0.175,0.5,171.0,0
590,1.25,0.175,0.5,189.0,2
591,1.25,0.175,0.5,207.0,0
592,1.25,0.175,0.5,225.0,0
593,1.25,0.175,0.5,243.0,0
594,1.25,0.175,0.5,261.0,0
595,1.25,0.175,0.5,279.0,0
596,1.25,0.175,0.5,297.0,0
597,1.25,0.175,0.5,315.0,0
598,1.25,0.175,0.5,333.0,0
599,1.25,0.175,0.5,351.0,0
600,1.25,0.175,0.8,9.0,0
601,1.25,0.175,0.8,27.0,0
602,1.25,0.175,0.8,45.0,0
603,1.25,0.175,0.8,63.0,0
604,1.25,0.175,0.8,81.0,0
605,1.25,0.175,0.8,99.0,0
606,1.25,0.175,0.8,117.0,0
607,1.25,0.175,0.8,135.0,1
608,1.25,0.175,0.8,153.0,1
609,1.25,0.175,0.8,171.0,3
610,1.25,0.175,0.8,189.0,1
611,1.25,0.175,0.8,207.0,5
612,1.25,0.175,0.8,225.0,0
613,1.25,0.175,0.8,243.0,0
614,1.25,0.175,0.8,261.0,0
615,1.25,0.175,0.8,279.0,0
616,1.25,0.175,0.8,297.0,0
617,1.25,0.175,0.8,315.0,0
618,1.25,0.175,0.8,333.0,0
619,1.25,0.175,0.8,351.0,0
620,1.25,0.175,1.25,9.0,0
621,1.25,0.175,1.25,27.0,0
622,1.25,0.175,1.25,45.0,0
623,1.25,0.175,1.25,63.0,0
624,1.25,0.175,1.25,81.0,0
625,1.25,0.175,1.25,99.0,0
626,1.25,0.175,1.25,117.0,0
627,1.25,0.175,1.25,135.0,3
628,1.25,0.175,1.25,153.0,2
629,1.25,0.175,1.25,171.0,1
630,1.25,0.175,1.25,189.0,1
631,1.25,0.175,1.25,207.0,4
632,1.25,0.175,1.25,225.0,0
633,1.25,0.175,1.25,243.0,2
634,1.25,0.175,1.25,261.0,0
635,1.25,0.175,1.25,279.0,0
636,1.25,0.175,1.25,297.0,0
637,1.25,0.175,1.25,315.0,0
638,1.25,0.175,1.25,333.0,0
639,1.25,0.175,1.25,351.0,0
640,1.25,0.175,1.75,9.0,0
641,1.25,0.175,1.75,27.0,0
642,1.25,0.175,1.75,45.0,0
643,1.25,0.175,1.75,63.0,0
644,1.25,0.175,1.75,81.0,0
645,1.25,0.175,1.75,99.0,1
646,1.25,0.175,1.75,117.0,0
647,1.25,0.175,1.75,135.0,0
648,1.25,0.175,1.75,153.0,2
649,1.25,0.175,1.75,171.0,3
650,1.25,0.175,1.75,189.0,2
651,1.25,0.175,1.75,207.0,1
652,1.25,0.175,1.75,225.0,1
653,1.25,0.175,1.75,243.0,3
654,1.25,0.175,1.75,261.0,1
655,1.25,0.175,1.75,279.0,0
656,1.25,0.175,1.75,297.0,0
657,1.25,0.175,1.75,315.0,0
658,1.25,0.175,1.75,333.0,0
659,1.25,0.175,1.75,351.0,0
660,1.25,0.175,2.5,9.0,0
661,1.25,0.175,2.5,27.0,0
662,1.25,0.175,2.5,45.0,0
663,1.25,0.175,2.5,63.0,1
664,1.25,0.175,2.5,81.0,0
665,1.25,0.175,2.5,99.0,2
666,1.25,0.175,2.5,117.0,0
667,1.25,0.175,2.5,135.0,1
668,1.25,0.175,2.5,153.0,1
669,1.25,0.175,2.5,171.0,1
670,1.25,0.175,2.5,189.0,0
671,1.25,0.175,2.5,207.0,1
672,1.25,0.175,2.5,225.0,0
673,1.25,0.175,2.5,243.0,2
674,1.25,0.175,2.5,261.0,1
675,1.25,0.175,2.5,279.0,0
676,1.25,0.175,2.5,297.0,0
677,1.25,0.175,2.5,315.0,0
678,1.25,0.175,2.5,333.0,0
679,1.25,0.175,2.5,351.0,0
680,1.25,0.175,4.0,9.0,0
681,1.25,0.175,4.0,27.0,0
682,1.25,0.175,4.0,45.0,0
683,1.25,0.175,4.0,63.0,0
684,1.25,0.175,4.0,81.0,0
685,1.25,0.175,4.0,99.0,0
686,1.25,0.175,4.0,117.0,0
687,1.25,0.175,4.0,135.0,0
688,1.25,0.175,4.0,153.0,0
689,1.25,0.175,4.0,171.0,0
690,1.25,0.175,4.0,189.0,0
691,1.25,0.175,4.0,207.0,0
692,1.25,0.175,4.0,225.0,0
693,1.25,0.175,4.0,243.0,0
694,1.25,0.175,4.0,261.0,0
